,age,annualincome,calldroprate,callfailurerate,callingnum,customerid,customersuspended,education,gender,homeowner,maritalstatus,monthlybilledamount,noadditionallines,numberofcomplaints,numberofmonthunpaid,numdayscontractequipmentplanexpiring,occupation,penaltytoswitch,state,totalminsusedinlastmonth,unpaidbalance,usesinternetservice,usesvoiceservice,percentagecalloutsidenetwork,totalcallduration,avgcallduration,churn,year,month
73,34,21917,0.01,0.0,4251076747,34,Yes,Bachelor or equivalent,Male,Yes,Married,95,\N,1,5,57,Non-technology Related Job,64,WA,417,34,No,No,0.94,5974,746,0,2015,1
74,34,21917,0.01,0.0,4251076747,34,Yes,Bachelor or equivalent,Male,Yes,Married,95,\N,1,5,57,Non-technology Related Job,64,WA,417,34,No,No,0.94,3903,975,0,2015,2
75,34,21917,0.01,0.0,4251076747,34,Yes,Bachelor or equivalent,Male,Yes,Married,95,\N,1,5,57,Non-technology Related Job,64,WA,417,34,No,No,0.94,331,331,0,2015,3
76,50,19946,0.03,0.02,4251068765,35,Yes,Bachelor or equivalent,Female,Yes,Single,102,\N,0,3,98,Technology Related Job,424,IN,420,144,No,No,0.16,2198,732,0,2015,1
77,50,19946,0.03,0.02,4251068765,35,Yes,Bachelor or equivalent,Female,Yes,Single,102,\N,0,3,98,Technology Related Job,424,IN,420,144,No,No,0.16,8067,733,0,2015,2
78,13,130846,0.01,0.02,4251081945,36,Yes,Bachelor or equivalent,Male,Yes,Single,40,\N,1,0,16,Non-technology Related Job,97,KS,117,159,No,No,0.61,3994,998,0,2015,1
79,13,130846,0.01,0.02,4251081945,36,Yes,Bachelor or equivalent,Male,Yes,Single,40,\N,1,0,16,Non-technology Related Job,97,KS,117,159,No,No,0.61,4002,1000,0,2015,2
80,13,130846,0.01,0.02,4251081945,36,Yes,Bachelor or equivalent,Male,Yes,Single,40,\N,1,0,16,Non-technology Related Job,97,KS,117,159,No,No,0.61,1083,1083,0,2015,3
81,28,128875,0.03,0.0,4251070137,37,Yes,PhD or equivalent,Male,Yes,Married,47,\N,3,6,57,Technology Related Job,457,NC,121,19,No,No,0.82,1384,346,0,2015,1
82,28,128875,0.03,0.0,4251070137,37,Yes,PhD or equivalent,Male,Yes,Married,47,\N,3,6,57,Technology Related Job,457,NC,121,19,No,No,0.82,4753,950,0,2015,2
83,59,239776,0.01,0.0,4251075538,38,Yes,High School or below,Female,Yes,Single,105,\N,1,3,75,Non-technology Related Job,129,OH,318,34,No,No,0.28,2849,949,0,2015,1
84,59,239776,0.01,0.0,4251075538,38,Yes,High School or below,Female,Yes,Single,105,\N,1,3,75,Non-technology Related Job,129,OH,318,34,No,No,0.28,3537,707,0,2015,2
85,59,239776,0.01,0.0,4251075538,38,Yes,High School or below,Female,Yes,Single,105,\N,1,3,75,Non-technology Related Job,129,OH,318,34,No,No,0.28,2622,1311,0,2015,3
86,75,237805,0.03,0.02,4251098864,39,Yes,High School or below,Female,Yes,Married,113,\N,3,1,16,Technology Related Job,489,AK,321,143,No,No,0.49,3015,603,0,2015,1
87,75,237805,0.03,0.02,4251098864,39,Yes,High School or below,Female,Yes,Married,113,\N,3,1,16,Technology Related Job,489,AK,321,143,No,No,0.49,1514,504,0,2015,2
88,37,98705,0.01,0.02,4251076763,40,Yes,High School or below,Male,Yes,Married,51,\N,0,6,34,Non-technology Related Job,162,AR,18,158,No,No,0.95,5173,862,0,2015,1
89,37,98705,0.01,0.02,4251076763,40,Yes,High School or below,Male,Yes,Married,51,\N,0,6,34,Non-technology Related Job,162,AR,18,158,No,No,0.95,2143,428,0,2015,2
90,53,96734,0.03,0.0,4251067408,41,Yes,High School or below,Female,No,Single,58,\N,3,4,75,Technology Related Job,22,MD,21,18,No,No,0.16,2614,326,0,2015,1
91,53,96734,0.03,0.0,4251067408,41,Yes,High School or below,Female,No,Single,58,\N,3,4,75,Technology Related Job,22,MD,21,18,No,No,0.16,2175,1087,0,2015,2
92,15,207635,0.02,0.0,4251074247,42,Yes,Bachelor or equivalent,Male,Yes,Single,116,\N,0,2,93,Non-technology Related Job,194,MI,218,33,No,No,0.61,5422,1084,1,2015,1
93,15,207635,0.02,0.0,4251074247,42,Yes,Bachelor or equivalent,Male,Yes,Single,116,\N,0,2,93,Non-technology Related Job,194,MI,218,33,No,No,0.61,2938,734,1,2015,2
94,31,205664,0.04,0.02,4251021408,43,Yes,Bachelor or equivalent,Male,Yes,Single,4,\N,2,7,33,Technology Related Job,54,RI,222,143,No,No,0.82,2916,583,0,2015,1
95,31,205664,0.04,0.02,4251021408,43,Yes,Bachelor or equivalent,Male,Yes,Single,4,\N,2,7,33,Technology Related Job,54,RI,222,143,No,No,0.82,3946,657,0,2015,2
96,62,66564,0.02,0.02,4251086886,44,Yes,Bachelor or equivalent,Female,Yes,Single,62,\N,0,5,52,Non-technology Related Job,227,SD,419,158,No,No,0.28,7311,609,0,2015,1
97,62,66564,0.02,0.02,4251086886,44,Yes,Bachelor or equivalent,Female,Yes,Single,62,\N,0,5,52,Non-technology Related Job,227,SD,419,158,No,No,0.28,582,582,0,2015,2
98,62,66564,0.02,0.02,4251086886,44,Yes,Bachelor or equivalent,Female,Yes,Single,62,\N,0,5,52,Non-technology Related Job,227,SD,419,158,No,No,0.28,1340,1340,0,2015,3
99,77,64593,0.04,0.0,4251086023,45,Yes,Master or equivalent,Male,Yes,Married,69,\N,2,2,92,Technology Related Job,87,DE,422,18,No,No,0.49,1761,587,0,2015,1
100,77,64593,0.04,0.0,4251086023,45,Yes,Master or equivalent,Male,Yes,Married,69,\N,2,2,92,Technology Related Job,87,DE,422,18,No,No,0.49,7002,1000,0,2015,2
101,40,175493,0.02,0.0,4251012570,46,Yes,PhD or equivalent,Female,No,Married,7,\N,3,0,11,Non-technology Related Job,259,GA,119,33,No,Yes,0.95,5350,668,0,2015,1
102,40,175493,0.02,0.0,4251012570,46,Yes,PhD or equivalent,Female,No,Married,7,\N,3,0,11,Non-technology Related Job,259,GA,119,33,No,Yes,0.95,3806,761,0,2015,2
103,56,173522,0.04,0.02,4251066935,47,Yes,High School or below,Female,No,Single,14,\N,2,5,51,Technology Related Job,120,MT,122,143,No,No,0.16,3793,948,0,2015,1
104,56,173522,0.04,0.02,4251066935,47,Yes,High School or below,Female,No,Single,14,\N,2,5,51,Technology Related Job,120,MT,122,143,No,No,0.16,3670,734,0,2015,2
105,18,34423,0.02,0.02,4251098797,48,Yes,High School or below,Male,Yes,Single,72,\N,3,3,70,Non-technology Related Job,292,NV,319,158,No,No,0.61,7422,530,0,2015,1
106,18,34423,0.02,0.02,4251098797,48,Yes,High School or below,Male,Yes,Single,72,\N,3,3,70,Non-technology Related Job,292,NV,319,158,No,No,0.61,3907,976,0,2015,2
107,18,34423,0.02,0.02,4251098797,48,Yes,High School or below,Male,Yes,Single,72,\N,3,3,70,Non-technology Related Job,292,NV,319,158,No,No,0.61,867,867,0,2015,3
108,34,32452,0.04,0.0,4251056800,49,Yes,High School or below,Male,Yes,Single,80,\N,2,0,10,Technology Related Job,152,VT,323,18,No,No,0.83,6501,812,0,2015,1
109,34,32452,0.04,0.0,4251056800,49,Yes,High School or below,Male,Yes,Single,80,\N,2,0,10,Technology Related Job,152,VT,323,18,No,No,0.83,1937,484,0,2015,2
110,64,143352,0.03,0.0,4251010715,50,Yes,High School or below,Female,Yes,Single,18,\N,3,6,29,Non-technology Related Job,325,WA,20,33,No,No,0.28,2851,950,0,2015,1
111,64,143352,0.03,0.0,4251010715,50,Yes,High School or below,Female,Yes,Single,18,\N,3,6,29,Non-technology Related Job,325,WA,20,33,No,No,0.28,4723,674,0,2015,2
112,64,143352,0.03,0.0,4251010715,50,Yes,High School or below,Female,Yes,Single,18,\N,3,6,29,Non-technology Related Job,325,WA,20,33,No,No,0.28,862,862,0,2015,3
113,67,198309,0.06,0.0,4251036375,51,Yes,Bachelor or equivalent,Female,No,Married,109,\N,0,0,98,Non-technology Related Job,1,SC,119,68,No,No,0.81,4356,622,0,2015,1
114,67,198309,0.06,0.0,4251036375,51,Yes,Bachelor or equivalent,Female,No,Married,109,\N,0,0,98,Non-technology Related Job,1,SC,119,68,No,No,0.81,3844,427,0,2015,2
115,14,196338,0.0,0.02,4251094710,52,Yes,Bachelor or equivalent,Female,No,Single,116,\N,3,5,39,Technology Related Job,361,CO,122,178,No,No,0.02,1603,400,0,2015,1
116,14,196338,0.0,0.02,4251094710,52,Yes,Bachelor or equivalent,Female,No,Single,116,\N,3,5,39,Technology Related Job,361,CO,122,178,No,No,0.02,964,482,0,2015,2
117,45,57239,0.07,0.02,4251034334,53,Yes,Bachelor or equivalent,Male,Yes,Single,54,\N,0,3,57,Non-technology Related Job,33,DE,319,193,No,No,0.48,4873,812,0,2015,1
118,45,57239,0.07,0.02,4251034334,53,Yes,Bachelor or equivalent,Male,Yes,Single,54,\N,0,3,57,Non-technology Related Job,33,DE,319,193,No,No,0.48,4273,1068,0,2015,2
119,61,55268,0.01,0.03,4251094629,54,Yes,Master or equivalent,Female,Yes,Married,61,\N,2,1,97,Technology Related Job,393,MO,322,53,No,No,0.69,6260,894,0,2015,1
120,61,55268,0.01,0.03,4251094629,54,Yes,Master or equivalent,Female,Yes,Married,61,\N,2,1,97,Technology Related Job,393,MO,322,53,No,No,0.69,7081,885,0,2015,2
121,61,55268,0.01,0.03,4251094629,54,Yes,Master or equivalent,Female,Yes,Married,61,\N,2,1,97,Technology Related Job,393,MO,322,53,No,No,0.69,773,386,0,2015,3
122,23,166168,0.07,0.0,4251096800,55,Yes,PhD or equivalent,Male,Yes,Single,119,\N,0,6,16,Non-technology Related Job,66,NE,19,68,No,Yes,0.15,4982,996,0,2015,1
123,23,166168,0.07,0.0,4251096800,55,Yes,PhD or equivalent,Male,Yes,Single,119,\N,0,6,16,Non-technology Related Job,66,NE,19,68,No,Yes,0.15,996,332,0,2015,2
124,39,164197,0.01,0.01,4251021021,56,Yes,High School or below,Male,Yes,Married,7,\N,2,4,56,Technology Related Job,426,UT,23,178,No,No,0.36,3399,566,0,2015,1
125,39,164197,0.01,0.01,4251021021,56,Yes,High School or below,Male,Yes,Married,7,\N,2,4,56,Technology Related Job,426,UT,23,178,No,No,0.36,5970,852,0,2015,2
126,69,25098,0.07,0.02,4251009252,57,Yes,High School or below,Female,Yes,Married,65,\N,3,1,75,Non-technology Related Job,98,VA,220,193,No,No,0.81,5120,1024,0,2015,1
127,69,25098,0.07,0.02,4251009252,57,Yes,High School or below,Female,Yes,Married,65,\N,3,1,75,Non-technology Related Job,98,VA,220,193,No,No,0.81,3488,581,0,2015,2
128,17,23127,0.01,0.03,4251079065,58,Yes,High School or below,Female,Yes,Single,72,\N,2,7,15,Technology Related Job,459,ID,223,53,No,No,0.02,2541,635,0,2015,1
129,17,23127,0.01,0.03,4251079065,58,Yes,High School or below,Female,Yes,Single,72,\N,2,7,15,Technology Related Job,459,ID,223,53,No,No,0.02,1979,659,0,2015,2
130,48,134027,0.07,0.0,4251047459,59,Yes,High School or below,Male,Yes,Single,10,\N,3,4,34,Non-technology Related Job,131,IN,420,68,No,No,0.48,2094,418,1,2015,1
131,48,134027,0.07,0.0,4251047459,59,Yes,High School or below,Male,Yes,Single,10,\N,3,4,34,Non-technology Related Job,131,IN,420,68,No,No,0.48,4678,779,1,2015,2
132,64,132056,0.01,0.01,4251063562,60,Yes,Bachelor or equivalent,Female,No,Single,18,\N,2,2,74,Technology Related Job,491,NM,423,178,No,No,0.69,1248,416,0,2015,1
133,64,132056,0.01,0.01,4251063562,60,Yes,Bachelor or equivalent,Female,No,Single,18,\N,2,2,74,Technology Related Job,491,NM,423,178,No,No,0.69,2401,1200,0,2015,2
134,26,242956,0.0,0.02,4251013339,61,Yes,Bachelor or equivalent,Male,Yes,Single,75,\N,3,7,93,Non-technology Related Job,164,NC,120,193,No,No,0.15,4894,699,0,2015,1
135,26,242956,0.0,0.02,4251013339,61,Yes,Bachelor or equivalent,Male,Yes,Single,75,\N,3,7,93,Non-technology Related Job,164,NC,120,193,No,No,0.15,4258,532,0,2015,2
136,26,242956,0.0,0.02,4251013339,61,Yes,Bachelor or equivalent,Male,Yes,Single,75,\N,3,7,93,Non-technology Related Job,164,NC,120,193,No,No,0.15,1433,1433,0,2015,3
137,42,240985,0.02,0.03,4251043629,62,Yes,Master or equivalent,Male,Yes,Married,83,\N,1,5,33,Technology Related Job,24,WY,124,53,No,No,0.36,7318,731,0,2015,1
138,42,240985,0.02,0.03,4251043629,62,Yes,Master or equivalent,Male,Yes,Married,83,\N,1,5,33,Technology Related Job,24,WY,124,53,No,No,0.36,3930,786,0,2015,2
139,72,101886,0.0,0.0,4251029008,63,Yes,Master or equivalent,Female,Yes,Married,21,\N,2,2,52,Non-technology Related Job,196,AK,321,68,No,No,0.81,2422,807,0,2015,1
140,72,101886,0.0,0.0,4251029008,63,Yes,Master or equivalent,Female,Yes,Married,21,\N,2,2,52,Non-technology Related Job,196,AK,321,68,No,No,0.81,4606,1151,0,2015,2
141,72,101886,0.0,0.0,4251029008,63,Yes,Master or equivalent,Female,Yes,Married,21,\N,2,2,52,Non-technology Related Job,196,AK,321,68,No,No,0.81,222,222,0,2015,3
142,20,99915,0.02,0.01,4251074288,64,Yes,High School or below,Female,Yes,Single,28,\N,1,0,92,Technology Related Job,56,LA,324,178,No,Yes,0.03,5519,919,0,2015,1
143,20,99915,0.02,0.01,4251074288,64,Yes,High School or below,Female,Yes,Single,28,\N,1,0,92,Technology Related Job,56,LA,324,178,No,Yes,0.03,3209,458,0,2015,2
144,50,210815,0.0,0.02,4251034446,65,No,High School or below,Male,No,Married,86,\N,2,6,11,Non-technology Related Job,229,MD,21,193,No,No,0.48,3286,657,0,2015,1
145,50,210815,0.0,0.02,4251034446,65,No,High School or below,Male,No,Married,86,\N,2,6,11,Non-technology Related Job,229,MD,21,193,No,No,0.48,3688,737,0,2015,2
146,66,208844,0.02,0.03,4251087741,66,Yes,High School or below,Female,No,Single,94,\N,1,3,51,Non-technology Related Job,89,OR,24,53,Yes,No,0.69,4067,1016,0,2015,1
