,Unnamed: 0,age,annualincome,calldroprate,callfailurerate,callingnum,customerid,customersuspended,education,gender,homeowner,maritalstatus,monthlybilledamount,numberofcomplaints,numberofmonthunpaid,numdayscontractequipmentplanexpiring,occupation,penaltytoswitch,state,totalminsusedinlastmonth,unpaidbalance,usesinternetservice,usesvoiceservice,percentagecalloutsidenetwork,totalcallduration,avgcallduration
44,44,66,7441,0.01,0.0,4251079003,21,Yes,High School or below,Female,Yes,Single,4,1,5,85,Technology Related Job,196,ND,18,19,No,No,0.49,4680,936
45,45,66,7441,0.01,0.0,4251079003,21,Yes,High School or below,Female,Yes,Single,4,1,5,85,Technology Related Job,196,ND,18,19,No,No,0.49,2918,729
46,46,29,118341,0.07,0.01,4251043431,22,Yes,High School or below,Male,Yes,Single,62,3,3,4,Non-technology Related Job,369,OH,215,34,No,No,0.94,4746,527
47,47,29,118341,0.07,0.01,4251043431,22,Yes,High School or below,Male,Yes,Single,62,3,3,4,Non-technology Related Job,369,OH,215,34,No,No,0.94,5287,881
48,48,29,118341,0.07,0.01,4251043431,22,Yes,High School or below,Male,Yes,Single,62,3,3,4,Non-technology Related Job,369,OH,215,34,No,No,0.94,995,497
49,49,45,116370,0.01,0.02,4251010033,23,Yes,High School or below,Female,Yes,Single,70,1,0,44,Technology Related Job,229,AK,219,144,No,No,0.15,1175,587
50,50,45,116370,0.01,0.02,4251010033,23,Yes,High School or below,Female,Yes,Single,70,1,0,44,Technology Related Job,229,AK,219,144,No,No,0.15,5389,598
51,51,75,227270,0.07,0.03,4251016886,24,Yes,High School or below,Male,Yes,Single,8,2,6,63,Non-technology Related Job,401,AR,416,159,No,Yes,0.61,4992,998
52,52,75,227270,0.07,0.03,4251016886,24,Yes,High School or below,Male,Yes,Single,8,2,6,63,Non-technology Related Job,401,AR,416,159,No,Yes,0.61,4041,505
53,53,23,225299,0.01,0.0,4251045842,25,Yes,Bachelor or equivalent,Male,Yes,Married,15,1,3,3,Technology Related Job,261,MA,419,19,No,No,0.82,3219,643
54,54,23,225299,0.01,0.0,4251045842,25,Yes,Bachelor or equivalent,Male,Yes,Married,15,1,3,3,Technology Related Job,261,MA,419,19,No,No,0.82,3228,645
55,55,53,86200,0.0,0.0,4251043061,26,Yes,Bachelor or equivalent,Female,Yes,Married,73,2,1,22,Non-technology Related Job,434,MN,116,34,No,No,0.28,5926,592
56,56,53,86200,0.0,0.0,4251043061,26,Yes,Bachelor or equivalent,Female,Yes,Married,73,2,1,22,Non-technology Related Job,434,MN,116,34,No,No,0.28,1875,625
57,57,69,84229,0.02,0.02,4251098247,27,Yes,Bachelor or equivalent,Female,No,Single,81,1,6,62,Technology Related Job,294,SC,119,144,No,No,0.49,7748,704
58,58,69,84229,0.02,0.02,4251098247,27,Yes,Bachelor or equivalent,Female,No,Single,81,1,6,62,Technology Related Job,294,SC,119,144,No,No,0.49,6669,833
59,59,69,84229,0.02,0.02,4251098247,27,Yes,Bachelor or equivalent,Female,No,Single,81,1,6,62,Technology Related Job,294,SC,119,144,No,No,0.49,405,405
60,60,31,195129,0.0,0.02,4251026170,28,Yes,Master or equivalent,Male,Yes,Married,18,2,4,81,Non-technology Related Job,466,SD,316,159,No,No,0.94,7215,721
61,61,31,195129,0.0,0.02,4251026170,28,Yes,Master or equivalent,Male,Yes,Married,18,2,4,81,Non-technology Related Job,466,SD,316,159,No,No,0.94,1614,807
62,62,47,193158,0.02,0.0,4251011887,29,Yes,High School or below,Female,Yes,Single,26,0,1,21,Technology Related Job,327,DE,320,19,Yes,No,0.15,6115,611
63,63,47,193158,0.02,0.0,4251011887,29,Yes,High School or below,Female,Yes,Single,26,0,1,21,Technology Related Job,327,DE,320,19,Yes,No,0.15,2102,420
64,64,78,54058,0.0,0.0,4251017032,30,Yes,High School or below,Male,Yes,Single,84,2,7,39,Non-technology Related Job,499,GA,16,34,No,No,0.61,4933,704
65,65,78,54058,0.0,0.0,4251017032,30,Yes,High School or below,Male,Yes,Single,84,2,7,39,Non-technology Related Job,499,GA,16,34,No,No,0.61,6507,813
66,66,26,52087,0.02,0.02,4251029808,31,Yes,High School or below,Male,Yes,Married,91,0,5,80,Technology Related Job,359,NE,20,144,No,No,0.82,2707,541
67,67,26,52087,0.02,0.02,4251029808,31,Yes,High School or below,Male,Yes,Married,91,0,5,80,Technology Related Job,359,NE,20,144,No,No,0.82,5199,742
68,68,26,52087,0.02,0.02,4251029808,31,Yes,High School or below,Male,Yes,Married,91,0,5,80,Technology Related Job,359,NE,20,144,No,No,0.82,270,270
69,69,56,162988,0.0,0.02,4251040357,32,Yes,High School or below,Female,No,Married,29,1,2,98,Non-technology Related Job,32,NH,217,159,No,No,0.28,3978,795
70,70,56,162988,0.0,0.02,4251040357,32,Yes,High School or below,Female,No,Married,29,1,2,98,Non-technology Related Job,32,NH,217,159,No,No,0.28,3795,759
71,71,72,161017,0.02,0.0,4251093174,33,Yes,High School or below,Female,Yes,Married,37,0,0,39,Technology Related Job,392,VA,220,19,No,Yes,0.49,1596,399
72,72,72,161017,0.02,0.0,4251093174,33,Yes,High School or below,Female,Yes,Married,37,0,0,39,Technology Related Job,392,VA,220,19,No,Yes,0.49,7474,1067
73,73,34,21917,0.01,0.0,4251076747,34,Yes,Bachelor or equivalent,Male,Yes,Married,95,1,5,57,Non-technology Related Job,64,WA,417,34,No,No,0.94,5974,746
74,74,34,21917,0.01,0.0,4251076747,34,Yes,Bachelor or equivalent,Male,Yes,Married,95,1,5,57,Non-technology Related Job,64,WA,417,34,No,No,0.94,3903,975
75,75,34,21917,0.01,0.0,4251076747,34,Yes,Bachelor or equivalent,Male,Yes,Married,95,1,5,57,Non-technology Related Job,64,WA,417,34,No,No,0.94,331,331
76,76,50,19946,0.03,0.02,4251068765,35,Yes,Bachelor or equivalent,Female,Yes,Single,102,0,3,98,Technology Related Job,424,IN,420,144,No,No,0.16,2198,732
77,77,50,19946,0.03,0.02,4251068765,35,Yes,Bachelor or equivalent,Female,Yes,Single,102,0,3,98,Technology Related Job,424,IN,420,144,No,No,0.16,8067,733
78,78,13,130846,0.01,0.02,4251081945,36,Yes,Bachelor or equivalent,Male,Yes,Single,40,1,0,16,Non-technology Related Job,97,KS,117,159,No,No,0.61,3994,998
79,79,13,130846,0.01,0.02,4251081945,36,Yes,Bachelor or equivalent,Male,Yes,Single,40,1,0,16,Non-technology Related Job,97,KS,117,159,No,No,0.61,4002,1000
80,80,13,130846,0.01,0.02,4251081945,36,Yes,Bachelor or equivalent,Male,Yes,Single,40,1,0,16,Non-technology Related Job,97,KS,117,159,No,No,0.61,1083,1083
81,81,28,128875,0.03,0.0,4251070137,37,Yes,PhD or equivalent,Male,Yes,Married,47,3,6,57,Technology Related Job,457,NC,121,19,No,No,0.82,1384,346
82,82,28,128875,0.03,0.0,4251070137,37,Yes,PhD or equivalent,Male,Yes,Married,47,3,6,57,Technology Related Job,457,NC,121,19,No,No,0.82,4753,950
83,83,59,239776,0.01,0.0,4251075538,38,Yes,High School or below,Female,Yes,Single,105,1,3,75,Non-technology Related Job,129,OH,318,34,No,No,0.28,2849,949
84,84,59,239776,0.01,0.0,4251075538,38,Yes,High School or below,Female,Yes,Single,105,1,3,75,Non-technology Related Job,129,OH,318,34,No,No,0.28,3537,707
85,85,59,239776,0.01,0.0,4251075538,38,Yes,High School or below,Female,Yes,Single,105,1,3,75,Non-technology Related Job,129,OH,318,34,No,No,0.28,2622,1311
86,86,75,237805,0.03,0.02,4251098864,39,Yes,High School or below,Female,Yes,Married,113,3,1,16,Technology Related Job,489,AK,321,143,No,No,0.49,3015,603
87,87,75,237805,0.03,0.02,4251098864,39,Yes,High School or below,Female,Yes,Married,113,3,1,16,Technology Related Job,489,AK,321,143,No,No,0.49,1514,504
88,88,37,98705,0.01,0.02,4251076763,40,Yes,High School or below,Male,Yes,Married,51,0,6,34,Non-technology Related Job,162,AR,18,158,No,No,0.95,5173,862
89,89,37,98705,0.01,0.02,4251076763,40,Yes,High School or below,Male,Yes,Married,51,0,6,34,Non-technology Related Job,162,AR,18,158,No,No,0.95,2143,428
90,90,53,96734,0.03,0.0,4251067408,41,Yes,High School or below,Female,No,Single,58,3,4,75,Technology Related Job,22,MD,21,18,No,No,0.16,2614,326
91,91,53,96734,0.03,0.0,4251067408,41,Yes,High School or below,Female,No,Single,58,3,4,75,Technology Related Job,22,MD,21,18,No,No,0.16,2175,1087
92,92,15,207635,0.02,0.0,4251074247,42,Yes,Bachelor or equivalent,Male,Yes,Single,116,0,2,93,Non-technology Related Job,194,MI,218,33,No,No,0.61,5422,1084
93,93,15,207635,0.02,0.0,4251074247,42,Yes,Bachelor or equivalent,Male,Yes,Single,116,0,2,93,Non-technology Related Job,194,MI,218,33,No,No,0.61,2938,734
94,94,31,205664,0.04,0.02,4251021408,43,Yes,Bachelor or equivalent,Male,Yes,Single,4,2,7,33,Technology Related Job,54,RI,222,143,No,No,0.82,2916,583
95,95,31,205664,0.04,0.02,4251021408,43,Yes,Bachelor or equivalent,Male,Yes,Single,4,2,7,33,Technology Related Job,54,RI,222,143,No,No,0.82,3946,657
96,96,62,66564,0.02,0.02,4251086886,44,Yes,Bachelor or equivalent,Female,Yes,Single,62,0,5,52,Non-technology Related Job,227,SD,419,158,No,No,0.28,7311,609
97,97,62,66564,0.02,0.02,4251086886,44,Yes,Bachelor or equivalent,Female,Yes,Single,62,0,5,52,Non-technology Related Job,227,SD,419,158,No,No,0.28,582,582
98,98,62,66564,0.02,0.02,4251086886,44,Yes,Bachelor or equivalent,Female,Yes,Single,62,0,5,52,Non-technology Related Job,227,SD,419,158,No,No,0.28,1340,1340
99,99,77,64593,0.04,0.0,4251086023,45,Yes,Master or equivalent,Male,Yes,Married,69,2,2,92,Technology Related Job,87,DE,422,18,No,No,0.49,1761,587
100,100,77,64593,0.04,0.0,4251086023,45,Yes,Master or equivalent,Male,Yes,Married,69,2,2,92,Technology Related Job,87,DE,422,18,No,No,0.49,7002,1000
101,101,40,175493,0.02,0.0,4251012570,46,Yes,PhD or equivalent,Female,No,Married,7,3,0,11,Non-technology Related Job,259,GA,119,33,No,Yes,0.95,5350,668
102,102,40,175493,0.02,0.0,4251012570,46,Yes,PhD or equivalent,Female,No,Married,7,3,0,11,Non-technology Related Job,259,GA,119,33,No,Yes,0.95,3806,761
103,103,56,173522,0.04,0.02,4251066935,47,Yes,High School or below,Female,No,Single,14,2,5,51,Technology Related Job,120,MT,122,143,No,No,0.16,3793,948
104,104,56,173522,0.04,0.02,4251066935,47,Yes,High School or below,Female,No,Single,14,2,5,51,Technology Related Job,120,MT,122,143,No,No,0.16,3670,734
105,105,18,34423,0.02,0.02,4251098797,48,Yes,High School or below,Male,Yes,Single,72,3,3,70,Non-technology Related Job,292,NV,319,158,No,No,0.61,7422,530
106,106,18,34423,0.02,0.02,4251098797,48,Yes,High School or below,Male,Yes,Single,72,3,3,70,Non-technology Related Job,292,NV,319,158,No,No,0.61,3907,976
107,107,18,34423,0.02,0.02,4251098797,48,Yes,High School or below,Male,Yes,Single,72,3,3,70,Non-technology Related Job,292,NV,319,158,No,No,0.61,867,867
108,108,34,32452,0.04,0.0,4251056800,49,Yes,High School or below,Male,Yes,Single,80,2,0,10,Technology Related Job,152,VT,323,18,No,No,0.83,6501,812
109,109,34,32452,0.04,0.0,4251056800,49,Yes,High School or below,Male,Yes,Single,80,2,0,10,Technology Related Job,152,VT,323,18,No,No,0.83,1937,484
110,110,64,143352,0.03,0.0,4251010715,50,Yes,High School or below,Female,Yes,Single,18,3,6,29,Non-technology Related Job,325,WA,20,33,No,No,0.28,2851,950
111,111,64,143352,0.03,0.0,4251010715,50,Yes,High School or below,Female,Yes,Single,18,3,6,29,Non-technology Related Job,325,WA,20,33,No,No,0.28,4723,674
112,112,64,143352,0.03,0.0,4251010715,50,Yes,High School or below,Female,Yes,Single,18,3,6,29,Non-technology Related Job,325,WA,20,33,No,No,0.28,862,862
113,113,67,198309,0.06,0.0,4251036375,51,Yes,Bachelor or equivalent,Female,No,Married,109,0,0,98,Non-technology Related Job,1,SC,119,68,No,No,0.81,4356,622
114,114,67,198309,0.06,0.0,4251036375,51,Yes,Bachelor or equivalent,Female,No,Married,109,0,0,98,Non-technology Related Job,1,SC,119,68,No,No,0.81,3844,427
115,115,14,196338,0.0,0.02,4251094710,52,Yes,Bachelor or equivalent,Female,No,Single,116,3,5,39,Technology Related Job,361,CO,122,178,No,No,0.02,1603,400
116,116,14,196338,0.0,0.02,4251094710,52,Yes,Bachelor or equivalent,Female,No,Single,116,3,5,39,Technology Related Job,361,CO,122,178,No,No,0.02,964,482
117,117,45,57239,0.07,0.02,4251034334,53,Yes,Bachelor or equivalent,Male,Yes,Single,54,0,3,57,Non-technology Related Job,33,DE,319,193,No,No,0.48,4873,812
118,118,45,57239,0.07,0.02,4251034334,53,Yes,Bachelor or equivalent,Male,Yes,Single,54,0,3,57,Non-technology Related Job,33,DE,319,193,No,No,0.48,4273,1068
119,119,61,55268,0.01,0.03,4251094629,54,Yes,Master or equivalent,Female,Yes,Married,61,2,1,97,Technology Related Job,393,MO,322,53,No,No,0.69,6260,894
120,120,61,55268,0.01,0.03,4251094629,54,Yes,Master or equivalent,Female,Yes,Married,61,2,1,97,Technology Related Job,393,MO,322,53,No,No,0.69,7081,885
121,121,61,55268,0.01,0.03,4251094629,54,Yes,Master or equivalent,Female,Yes,Married,61,2,1,97,Technology Related Job,393,MO,322,53,No,No,0.69,773,386
122,122,23,166168,0.07,0.0,4251096800,55,Yes,PhD or equivalent,Male,Yes,Single,119,0,6,16,Non-technology Related Job,66,NE,19,68,No,Yes,0.15,4982,996
123,123,23,166168,0.07,0.0,4251096800,55,Yes,PhD or equivalent,Male,Yes,Single,119,0,6,16,Non-technology Related Job,66,NE,19,68,No,Yes,0.15,996,332
124,124,39,164197,0.01,0.01,4251021021,56,Yes,High School or below,Male,Yes,Married,7,2,4,56,Technology Related Job,426,UT,23,178,No,No,0.36,3399,566
125,125,39,164197,0.01,0.01,4251021021,56,Yes,High School or below,Male,Yes,Married,7,2,4,56,Technology Related Job,426,UT,23,178,No,No,0.36,5970,852
126,126,69,25098,0.07,0.02,4251009252,57,Yes,High School or below,Female,Yes,Married,65,3,1,75,Non-technology Related Job,98,VA,220,193,No,No,0.81,5120,1024
127,127,69,25098,0.07,0.02,4251009252,57,Yes,High School or below,Female,Yes,Married,65,3,1,75,Non-technology Related Job,98,VA,220,193,No,No,0.81,3488,581
128,128,17,23127,0.01,0.03,4251079065,58,Yes,High School or below,Female,Yes,Single,72,2,7,15,Technology Related Job,459,ID,223,53,No,No,0.02,2541,635
129,129,17,23127,0.01,0.03,4251079065,58,Yes,High School or below,Female,Yes,Single,72,2,7,15,Technology Related Job,459,ID,223,53,No,No,0.02,1979,659
130,130,48,134027,0.07,0.0,4251047459,59,Yes,High School or below,Male,Yes,Single,10,3,4,34,Non-technology Related Job,131,IN,420,68,No,No,0.48,2094,418
131,131,48,134027,0.07,0.0,4251047459,59,Yes,High School or below,Male,Yes,Single,10,3,4,34,Non-technology Related Job,131,IN,420,68,No,No,0.48,4678,779
132,132,64,132056,0.01,0.01,4251063562,60,Yes,Bachelor or equivalent,Female,No,Single,18,2,2,74,Technology Related Job,491,NM,423,178,No,No,0.69,1248,416
133,133,64,132056,0.01,0.01,4251063562,60,Yes,Bachelor or equivalent,Female,No,Single,18,2,2,74,Technology Related Job,491,NM,423,178,No,No,0.69,2401,1200
134,134,26,242956,0.0,0.02,4251013339,61,Yes,Bachelor or equivalent,Male,Yes,Single,75,3,7,93,Non-technology Related Job,164,NC,120,193,No,No,0.15,4894,699
135,135,26,242956,0.0,0.02,4251013339,61,Yes,Bachelor or equivalent,Male,Yes,Single,75,3,7,93,Non-technology Related Job,164,NC,120,193,No,No,0.15,4258,532
136,136,26,242956,0.0,0.02,4251013339,61,Yes,Bachelor or equivalent,Male,Yes,Single,75,3,7,93,Non-technology Related Job,164,NC,120,193,No,No,0.15,1433,1433
137,137,42,240985,0.02,0.03,4251043629,62,Yes,Master or equivalent,Male,Yes,Married,83,1,5,33,Technology Related Job,24,WY,124,53,No,No,0.36,7318,731
138,138,42,240985,0.02,0.03,4251043629,62,Yes,Master or equivalent,Male,Yes,Married,83,1,5,33,Technology Related Job,24,WY,124,53,No,No,0.36,3930,786
139,139,72,101886,0.0,0.0,4251029008,63,Yes,Master or equivalent,Female,Yes,Married,21,2,2,52,Non-technology Related Job,196,AK,321,68,No,No,0.81,2422,807
140,140,72,101886,0.0,0.0,4251029008,63,Yes,Master or equivalent,Female,Yes,Married,21,2,2,52,Non-technology Related Job,196,AK,321,68,No,No,0.81,4606,1151
141,141,72,101886,0.0,0.0,4251029008,63,Yes,Master or equivalent,Female,Yes,Married,21,2,2,52,Non-technology Related Job,196,AK,321,68,No,No,0.81,222,222
142,142,20,99915,0.02,0.01,4251074288,64,Yes,High School or below,Female,Yes,Single,28,1,0,92,Technology Related Job,56,LA,324,178,No,Yes,0.03,5519,919
143,143,20,99915,0.02,0.01,4251074288,64,Yes,High School or below,Female,Yes,Single,28,1,0,92,Technology Related Job,56,LA,324,178,No,Yes,0.03,3209,458
144,144,50,210815,0.0,0.02,4251034446,65,No,High School or below,Male,No,Married,86,2,6,11,Non-technology Related Job,229,MD,21,193,No,No,0.48,3286,657
145,145,50,210815,0.0,0.02,4251034446,65,No,High School or below,Male,No,Married,86,2,6,11,Non-technology Related Job,229,MD,21,193,No,No,0.48,3688,737
146,146,66,208844,0.02,0.03,4251087741,66,Yes,High School or below,Female,No,Single,94,1,3,51,Non-technology Related Job,89,OR,24,53,Yes,No,0.69,4067,1016
147,147,66,208844,0.02,0.03,4251087741,66,Yes,High School or below,Female,No,Single,94,1,3,51,Non-technology Related Job,89,OR,24,53,Yes,No,0.69,2319,773
148,148,29,69744,0.0,0.0,4251013661,67,Yes,High School or below,Male,Yes,Single,32,2,1,70,Non-technology Related Job,261,RI,221,68,No,No,0.15,5147,643
149,149,29,69744,0.0,0.0,4251013661,67,Yes,High School or below,Male,Yes,Single,32,2,1,70,Non-technology Related Job,261,RI,221,68,No,No,0.15,5823,582
150,150,45,67773,0.02,0.01,4251053518,68,Yes,Bachelor or equivalent,Male,Yes,Married,39,0,6,10,Non-technology Related Job,121,CO,225,178,No,No,0.36,5234,872
151,151,45,67773,0.02,0.01,4251053518,68,Yes,Bachelor or equivalent,Male,Yes,Married,39,0,6,10,Non-technology Related Job,121,CO,225,178,No,No,0.36,4123,824
152,152,75,178674,0.01,0.02,4251039721,69,Yes,Bachelor or equivalent,Female,Yes,Married,97,2,4,29,Non-technology Related Job,294,DE,422,193,No,No,0.82,3129,782
153,153,75,178674,0.01,0.02,4251039721,69,Yes,Bachelor or equivalent,Female,Yes,Married,97,2,4,29,Non-technology Related Job,294,DE,422,193,No,No,0.82,4858,971
154,154,23,176703,0.03,0.03,4251076213,70,Yes,Master or equivalent,Female,Yes,Married,104,0,1,69,Non-technology Related Job,154,MS,425,53,No,No,0.03,1562,781
155,155,23,176703,0.03,0.03,4251076213,70,Yes,Master or equivalent,Female,Yes,Married,104,0,1,69,Non-technology Related Job,154,MS,425,53,No,No,0.03,3241,810
156,156,23,176703,0.03,0.03,4251076213,70,Yes,Master or equivalent,Female,Yes,Married,104,0,1,69,Non-technology Related Job,154,MS,425,53,No,No,0.03,761,761
157,157,53,37603,0.01,0.0,4251011034,71,Yes,Master or equivalent,Male,No,Married,42,1,7,87,Non-technology Related Job,326,MT,122,68,No,No,0.48,6985,776
158,158,53,37603,0.01,0.0,4251011034,71,Yes,Master or equivalent,Male,No,Married,42,1,7,87,Non-technology Related Job,326,MT,122,68,No,No,0.48,5668,944
159,159,69,35632,0.03,0.01,4251031686,72,Yes,High School or below,Female,Yes,Single,50,0,4,28,Non-technology Related Job,186,TX,125,178,No,No,0.69,410,410
160,160,69,35632,0.03,0.01,4251031686,72,Yes,High School or below,Female,Yes,Single,50,0,4,28,Non-technology Related Job,186,TX,125,178,No,No,0.69,4271,1067
